Rank,Site Name,Site URL,Type,Popularity (1-5),Fit (1-5),Lead Kit,Suggested Promo,Primary Email,Phone,Contact / Advertise URL,Affiliate Program URL,Competitor Proof,Pitch Angle,Outreach Status,Notes
1,SurvivalBlog,https://survivalblog.com,Blog / media,5,5,Just in Case; Panic Pack,$30-45 off + 10-15% affiliate,james@rawles.to,,https://survivalblog.com/advertise/,,Jase Medical advertiser + editorial review Aug 2025,Upgrade from one-size Jase Case — scenario kits; no membership fee,,Granddaddy prep blog since 2005; millions of readers claim
2,Doom and Bloom,https://www.doomandbloom.net,Survival medicine authority,4,5,Just in Case; Panic Pack; Ouch Pouch,$30 off + co-branded LP,DrBonesPodcast@aol.com,,https://www.doomandbloom.net/advertise-here/,,Top survival medicine site; physician-led brand,Physician-to-physician responsible Rx stewardship,,#1 medical preparedness site positioning
3,Survival Life,https://survivallife.com,Blog + store network,5,4,Just in Case; Panic Pack,10-15% affiliate or sponsored placement,affiliates@olympuspeakmedia.com,,https://survivallife.com/advertise-with-us/,,Major prep brand; Olympus Peak Media,High-AOV Rx kit category for prep commerce audience,,Ads: admin@nativecommerce.com
4,The Organic Prepper,https://www.theorganicprepper.com,Blog + email,4,4,Just in Case,$30 off + email placement,pr@luthercompany.com,,https://www.theorganicprepper.com/advertise/,,20K+ daily email list; accepts emergency prep kit ads,Medicine cabinet before you need it — household prep,,Editorial: daisy@theorganicprepper.com
5,Practical Preppers,https://practicalpreppers.com,Store + content,4,4,Panic Pack; Just in Case,5% ShareASale + $30 off code,,864-915-1855,https://practicalpreppers.com/connect/,https://practicalpreppers.com/affiliates/,Jase category peer; Scott Hunt audience,Grid-down medical layer for engineering-minded prep,,$700 AOV store; 90-day cookie
6,City Prepping,https://www.cityprepping.com,YouTube + site (agency),4,4,Just in Case,$25 off first kit,cityprepping@adhesivemedia.com,,https://www.cityprepping.com,,White space vs Jase/TWC,Suburban medicine cabinet — not a bunker,,80% urban/suburban audience; Adhesive Media
7,Medical Gear Outfitters,https://medicalgearoutfitters.com,Medical gear store (SkinnyMedic),3,5,Ouch Pouch,5% affiliate + product seed,dietrich@medicalgearoutfitters.com,,https://medicalgearoutfitters.com/blogs/firstaid/affiliate-program,https://www.affiliatly.com/af-1027802/affiliate.panel,SkinnyMedic paramedic channel adjacency,Rx layer beyond IFAK — field trauma + infection,,Highest medical purchase intent in list
8,Survival Frog,https://www.survivalfrog.com,Prep store,4,3,Just in Case,12% affiliate (AWIN/ShareASale),affiliate@survivalfrog.com,,https://www.survivalfrog.com/pages/affiliate-program,,Large prep retailer; 16 years in market,New high-AOV Rx category for prep store affiliates,,30-day cookie; US shipping only
9,Ask a Prepper,https://www.askaprepper.com,Content + affiliates,4,4,Just in Case; Ouch Pouch,10-15% affiliate,support@askaprepper.com,,https://www.askaprepper.com/contact/,,Amazon/Clickbank affiliate site; medical prep articles,Household emergency Rx beyond drugstore first-aid,,Partnerships: claude.davis@askaprepper.com
10,The Prepper Journal,https://theprepperjournal.com,Blog,4,3,Just in Case,Sponsored article + affiliate,,,https://theprepperjournal.com/contact-us/,,14M+ readers since 2013; 1700+ articles,Broad prep audience — Just in Case entry SKU,,Contact via form; Facebook theprepperjournalblog
