Sheet Row,Podcast Title,Contact Email,Contact Path / Notes
2,Outside Podcast,sales@outsideinc.com,Endemic podcast/network ads — outsideinc.com
3,Slate News,advertise@slate.com,"Likely sheet mismatch (politics news feed, not prep); route to Slate ad sales"
4,Casual Preppers Podcast,casualprepperspodcast@gmail.com,Sponsor page: thecasualpreppers.com/become-a-sponsor; OVERLAP: also Tier 4 influencer list
5,Mind4Survival Podcast,brian@mind4survival.com,Host direct — mind4survival.com
6,Against The Odds,laurie@wondery.com,Wondery network sales (Amazon Audio); show is Wondery/Audible
7,Real Survival Stories,info@adelicious.fm,Ad rep in show notes (Adelicious FM)
8,Podcast – PreparedEx,info@preparedex.com,Rob Burton / PreparedEx corporate
9,Survival and Basic Badass Podcast,preppingbadass@gmail.com,Host Chuck Jager — repeated in episode show notes
10,Casual Preppers Podcast,casualprepperspodcast@gmail.com,Duplicate row in source sheet; OVERLAP: Tier 4 influencer list
11,Mind4Survival Podcast,brian@mind4survival.com,Duplicate row in source sheet
12,Prepping 2.0,glentate123@gmail.com,Glen Tate author contact (299days.com); also prepping2-0.com
13,DisasterClass Podcast,disasterclass@instinctready.com,Instinct Ready co-founders — instinctready.com/podcast
14,The Late Prepper,jdrucker@substack.com,JD Rucker direct — lateprepper.substack.com
15,Hometown Ready Emergency Management,,No public inbox — greenecountymo.gov/oem contact form; (417) 869-6040
16,Disaster Zone,ericholdeman@ericholdeman.com,Host Eric Holdeman — ericholdeman.com
17,Sticks and Stones Emergency Preparedness,everydayispracticeday@gmail.com,Host Rich — in-episode contact
18,Emergency Medicine Cases,info@emergencymedicinecases.com,No industry advertising; educational/earned angle only
