Author Name,Author Role,Author URL,Author Outlet Name,Author Email,Vertical/Niche,Why They Are a Fit,Suggested Pitch Angle,Suggested Kit,Priority Tier,Competitor Proof,Suggested Promo,Contact Path,Author Twitter Handle,Author LinkedIn,Outreach Status
Steve Deace,Host,https://stevedeace.com,Steve Deace Show (Blaze Media),,Preparedness / Conservative talk,"Jase Medical recurring sponsor with code DEACE; 1000+ sponsored episodes; audience buys emergency antibiotic narratives","Pitch Amble scenario kits as upgrade from one-size Jase Case — Just in Case for home prep, Panic Pack for when pharmacies are not an option",Just in Case; Panic Pack,1,Jase (DEACE),$30-45 off kit + free ship,Blaze advertising form: theblaze.com/contact → Advertising,@SteveDeace,,,
Charlie Kirk,Founder / Host,https://charliekirk.com,Turning Point USA,,Conservative / preparedness,TWC co-branded LP charlie-kirk-medkit-spike with code CHARLIE ($30 off kits + free shipping),Medical freedom + Just in Case for families; secondary Oh Sh*t for radiation-prep audience,Just in Case; Oh Sh*t,1,TWC (CHARLIE),$30 off + free shipping,TPUSA partnerships via turningpointusa.com,@charliekirk,,,
Ben Shapiro,Host,https://www.dailywire.com,The Ben Shapiro Show,,Conservative news,TWC ben-shapiro-mediits — code BEN saves $45 on Medical Emergency Kit,Medicine cabinet before you need it — Just in Case with flat pricing vs membership upsell,Just in Case,1,TWC (BEN),$45 off kit,Daily Wire advertising / partners page,@benshapiro,,,
Jimmy Dore,Host / Comedian,https://jimmydorecomedy.com,The Jimmy Dore Show,,Independent / anti-establishment,TWC dore-medkit-spike — code JIMMY $45 off kits,Skeptical-health audience — Amble as doctor-led no-hidden-fees Just in Case (avoid disease fear copy),Just in Case,1,TWC (JIMMY),$45 off,jimmydorecomedy.com / YouTube business,@jimmy_dore,,,
Dr. Drew Pinsky,Host / Physician,https://drdrew.com,Dr. Drew Podcast,,Health / talk,TWC drdrew-prepkit and contagion kit LPs; medical credibility,Physician angle: Viral Ick or Cold Reaper for respiratory season prep (compliance-safe),Viral Ick; Cold Reaper,1,TWC (Dr. Drew),10% off (match ADS),drdrew.com contact,@drdrew,,,
Adam Carolla & Dr. Drew,Co-hosts,https://adamanddrdrewshow.com,Adam & Dr. Drew Show,,Health / comedy talk,TWC adam-drew-show-medkit-spike — code ADS 10% off,Mayday for travel medicine; Adam travel audience + Drew clinical authority,Mayday,1,TWC (ADS),10% off,adamanddrdrewshow.com advertising,@adamcarolla,,,
Glenn Greenwald,Journalist / Host,https://greenwald.substack.com,System Update,,Independent journalism,TWC glenn-greenwald-prep-spike promotes Medical Emergency Kit,Just in Case — prepare before you cannot access a doctor,Just in Case,1,TWC,$30-45 off,Substack / Rumble business contact,@ggreenwald,,,
Ted Nugent,Musician / Commentator,https://tednugent.com,Ted Nugent media,,Hunting / preparedness,TWC ted-nugent-prep-spike — code TED ~$30 off,Ouch Pouch for hunting injuries + Panic Pack for off-grid ranch,Ouch Pouch; Panic Pack,1,TWC (TED),$30 off,tednugent.com contact,@tednugent,,,
Malcolm Out Loud,Host / Founder,https://www.americaoutloud.com,America Out Loud Talk Radio,,Talk radio / preparedness,TWC americaoutloud-medkit — code OUTLOUD 20-25% off,Network bundle co-branded LP — Just in Case hero for all AOL shows,Just in Case,1,TWC (OUTLOUD),20% off first order,americaoutloud.com advertising,@AmericaOutLoud,,,
Jim Hoft,Editor,https://www.thegatewaypundit.com,The Gateway Pundit,,Conservative news,TWC gateway-prepkit — code GATEWAY ~$30 off,Oh Sh*t for radiation-prep readers + Just in Case general emergency,Oh Sh*t; Just in Case,1,TWC (GATEWAY),~$30 off,Gateway Pundit advertising,@jimhoft,,,
Zach Vorhies / Red Voice Media,Network,https://www.redvoicemedia.com,Red Voice Media,,Conservative video / podcast,TWC redvoicemedia — code REDVOICE free membership,Just in Case — no Amble membership required as differentiator,Just in Case,1,TWC (REDVOICE),Free ship + $30 kit discount,redvoicemedia.com advertise,@RedVoiceMedia,,,
Buddy Brown,Country artist / Commentator,https://buddybrown.com,Buddy Brown,,Country / conservative,TWC bb-new — code BUDDY $30 off kits + free shipping,Rural family preparedness — Just in Case before storm season,Just in Case,1,TWC (BUDDY),$30 off + free ship,buddybrown.com business,@BuddyBrown,,,
Dave Smith,Host / Comedian,https://www.comicdavesmith.com,Part of the Problem,,Libertarian / independent,TWC YouTube sponsor (SponsorRadar),Just in Case — flat pricing no subscription physician consult included,Just in Case,1,TWC YouTube,$30-45 off,comicdavesmith.com / YouTube business,@ComicDaveSmith,,,
Rebel News,Media network,https://www.rebelnews.com,Rebel News,,Independent conservative media,TWC YouTube sponsor; Canadian + US prep audience,Mayday cross-border travel + Just in Case for home,Mayday; Just in Case,1,TWC YouTube,$30 off,rebelnews.com advertise,@RebelNewsOnline,,,
God Family and Guns (GFG),YouTube host,https://www.youtube.com/@GodFamilyandGuns,God Family and Guns,,Firearms / preparedness,300x Jase YouTube sponsor (SponsorRadar),Ouch Pouch Rx first aid beyond bandages; Panic Pack for grid-down episodes,Ouch Pouch; Panic Pack,2,Jase YouTube,10% partner match,YouTube business email on channel,,,
Alaska Prepper,YouTube host,https://www.youtube.com/@AlaskaPrepper,Alaska Prepper,,Preparedness / homestead,35x Jase sponsor; 238K subs; remote Alaska delayed care narrative,Panic Pack flagship + Just in Case entry SKU,Panic Pack; Just in Case,2,Jase (35 videos),$30 off + free ship,YouTube business email,,,
Ethical Preparedness,YouTube host,https://www.youtube.com/@EthicalPreparedness,Ethical Preparedness,,Preparedness education,Jase YouTube sponsor,Just in Case — responsible emergency Rx stewardship,Just in Case,2,Jase YouTube,$30 off,YouTube business email,,,
Layne Fable,Travel YouTuber,https://www.youtube.com/@LayneFable,Layne Fable,,Travel / lifestyle,Official Jase partner page jasemedical.com/lf with travel illness testimonial,Mayday — travel-specific meds vs generic Jase Case,Mayday,2,Jase partner LP,10% + co-branded URL,YouTube / Instagram business,@laynefable,,,
The Poplar Report,YouTube host,https://www.youtube.com/@ThePoplarReport,The Poplar Report,,News / preparedness,Jase YouTube sponsor,Just in Case for headlines-that-make-you-prep episodes,Just in Case,2,Jase YouTube,$30 off,YouTube business email,,,
City Prepping,YouTube host,https://www.youtube.com/@CityPrepping,City Prepping,cityprepping@adhesivemedia.com,Urban preparedness,80% urban audience; survival basics mission; public agency email,Just in Case for suburban families — medicine cabinet not bunker,Just in Case,2,White space,$25 off first kit,cityprepping@adhesivemedia.com (Adhesive Media),@CityPrepping,,,
Canadian Prepper,YouTube host,https://www.youtube.com/@CanadianPrepper,Canadian Prepper,,Preparedness / survival,Large prep channel; Jase category peer,Panic Pack; US-only Rx disclaimer in ad copy,Panic Pack,2,Category peer (Jase),$30 off,YouTube business email,,,
Mike Glover,CEO / Host,https://fieldcraftsurvival.com,Fieldcraft Survival,info@fieldcraftsurvival.com,Tactical preparedness,Fieldcraft podcast + special-ops credibility,Ouch Pouch field trauma + Panic Pack off-grid training,Ouch Pouch; Panic Pack,2,—,15-20% off,info@fieldcraftsurvival.com,@mike.a.glover,linkedin.com/in/mike-glover,
Jack Spirko,Host,https://www.thesurvivalpodcast.com,The Survival Podcast,jack@thesurvivalpodcast.com,Homestead / preparedness,Long-running prep institution; insurance-minded audience,Just in Case practical household emergency Rx,Just in Case,2,—,$30 off,jack@thesurvivalpodcast.com,@TheSurvivalPodcast,,,
Kim Iversen,Independent commentator,https://www.youtube.com/@KimIversen,Kim Iversen Show,,Independent politics / health skepticism,TWC YouTube sponsor (SponsorRadar),Breathe Easy mold/allergy season — softer than contagion kits,Breathe Easy,2,TWC YouTube,$30 off,YouTube business / kimiversen.com,@KimIversen,,,
Candace Owens,Host,https://www.candaceowens.com,Candace Owens Show,,Conservative media,Named TWC promoter (Daily Beast); large conservative female audience,Just in Case for household prep — EXEC APPROVAL REQUIRED (high controversy),Just in Case,2,TWC (media reports),$30-45 off,candaceowens.com contact,@RealCandaceO,,,
