Section,Rank,Platform,Name,Handle,Primary URL,Email,Contact,Followers,Profile Likes,Views,Likes,Comments,Shares,Niche,Fit Score,Why Fit,Priority Score,Metrics Source,Notes
New Lookalike,1,TikTok,Kim | Plus SideZ Podcast,dmfkim,https://www.tiktok.com/@dmfkim,DMFKimOnGLP@gmail.com,TikTok bio,100500,902200,,,,,GLP-1 journey,5,GLP1 NuSH Patient Health Education | Obesity Care Advocate | Marketing Strategist | Podcast Producer,50000,profile only,
New Lookalike,2,TikTok,Rachael | MyLittleLoveNest 🪺,mylittlelovenest,https://www.tiktok.com/@mylittlelovenest,Rachael@lovenestcollection.com,TikTok bio,82000,273700,,,,,GLP-1 journey,5,✨desperately seeking dopamine✨ SELFLOVE🤍GLP💉AuDHD🍼Everett's Mom Over 40 Fashion & Beauty | Dreamy In,50000,profile only,
New Lookalike,3,TikTok,MissGreenEyes 💜,missgreeneyes15,https://www.tiktok.com/@missgreeneyes15,,TikTok bio,59200,998000,,,,,GLP-1 journey,5,Beauty • Lifestyle • Honest life 💗 Single mom + GLP-1 journey People keep asking… it’s here 👇🏻,50000,profile only,
New Lookalike,4,TikTok,THE PEPTIDE PRINCESS,peptideprincess,https://www.tiktok.com/@peptideprincess,,TikTok bio,22800,382100,,,,,GLP-1 journey,5,GLP-1 AND PEPTIDES FOR WOMEN,50000,profile only,
New Lookalike,5,TikTok,Ally & MJ Baby 💙,mounjaro_mama,https://www.tiktok.com/@mounjaro_mama,,TikTok bio,11900,35700,,,,,GLP-1 journey,5,"½🏳️‍🌈, MJ 💉, PCOS/PMOS 👼, ARFID 🍩🍫, Healthy Mounjaro Baby Boy Born 15/10/25 💙  Restart: Week 17: -41",50000,profile only,
New Lookalike,6,TikTok,Semaglutide Journey,semaglutidejourney,https://www.tiktok.com/@semaglutidejourney,,TikTok bio,2500,,,,,,Semaglutide,5,Brand-specific journey updates,50000,profile only,
New Lookalike,7,TikTok,Ashley,ashleyglp1,https://www.tiktok.com/@ashleyglp1,,TikTok bio,2238,28000,,,,,GLP-1 journey,5,Solo una chica en USA 🇺🇸 compartiendo su viaje con los GLP-1 ✨,50000,profile only,
New Lookalike,8,TikTok,Tirzepatide Journey,tirzepatidejourney,https://www.tiktok.com/@tirzepatidejourney,,TikTok bio,2200,,,,,,Tirzepatide,5,Tirzepatide weigh-day cadence,50000,profile only,
New Lookalike,9,TikTok,GLP-1 Support + Education,glp1community,https://www.tiktok.com/@glp1community,,TikTok bio,1496,1825,,,,,GLP-1 journey,5,"Welcome to our GLP-1 Community — where safety, education, and support come first",50000,profile only,
New Lookalike,10,TikTok,GLP1MomLife,glp1momlife,https://www.tiktok.com/@glp1momlife,,TikTok bio,1431,210,,,,,GLP-1 journey,5,Real life on GLP-1 💉 No shame. No filters. Weekly shots • real results • real talk,50000,profile only,
